Molecule ChEMBL ID,Smiles,Binary,Xch-7d,AXp-6d,n6aRing,AXp-3d,NaasC,ATSC1p,SpDiam_A,EState_VSA2,GATS4d,Xch-6dv,BCUTs-1h,AXp-4d,AXp-0d,BCUTd-1l,AMID_N,ETA_dEpsilon_D,BCUTdv-1h,nHBAcc,NsOH,JGI7,nAromAtom,BalabanJ,AXp-5d,Xch-6d,AATS5p,PEOE_VSA2,BCUTd-1h,SMR_VSA7,NaaCH,MDEC-33,AATS0d,TSRW10,EState_VSA1,pIC50
K003,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)Cl,1,0.271591518,0.051757586,2,0.193662669,5,0.212087632,4.730508754,10.71656131,0.929115854,0.040722928,8.001917922,0.119938597,0.730226417,0.972895564,0.239196453,0.035729847,7.00405909,3,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.386657673,0,3.181172486,47.1265705,5,5.269331926,4,49.63121178,11.78652613,9.523
K099,n1c(c(c(nc1)C(=O)O)O)c1ccc(c(c1)Cl)Cl,0,0.321975275,0.048666495,2,0.186461406,6,0.826551284,4.819040287,10.71656131,1.105769231,0.038490018,7.008292965,0.11943006,0.738005143,0.972848605,0.225647341,0.06484127,6.022041452,4,2,0.020675505,12,1.991324439,0.074589499,0.136082763,1.478729275,0,3.252390661,40.2656159,4,8.073660072,4.083333333,51.14416654,17.41274512,6.854
K040,C(=O)(CCn1c(=O)oc2c1cc(c(c2)O[C@H](C)c1cccc(n1)C)Cl)O,1,0.685595383,0.047007815,2,0.179385196,4,-0.814145177,4.860618446,24.65256456,1.166375,0.094156602,7.009382228,0.111949885,0.724791173,0.97260197,0.16331687,0.022391806,6.039224604,6,1,0.017105222,15,1.545726684,0.07314598,0.384122976,1.409279307,14.34561535,3.273121116,57.29292465,5,9.3135854,3.558139535,75.22275604,11.72536811,8.301
K042,C(=O)(CCN1C(=O)COc2c1cc(c(c2)O[C@H](C)c1ccccn1)Cl)O,1,0.398530241,0.048116388,2,0.18279566,5,-0.814145177,4.916164925,31.58360611,1.163659794,0.061815964,7.009373771,0.114150143,0.718516684,0.972648161,0.163705814,0.022391806,6.023698883,5,1,0.015438988,12,1.568551502,0.073889172,0.213173184,1.3820967,14.57305289,3.220716721,47.24524022,6,7.827011729,3.511627907,60.92092179,5.969305288,8.301
K045,n1c(c(c(nc1)C(=O)O)F)c1ccc(c(c1)Cl)Cl,1,0.321975275,0.048666495,2,0.186461406,6,0.294186185,4.819040287,10.71656131,1.049993615,0.038490018,8.001917996,0.11943006,0.738005143,0.972848605,0.225647341,0.035143414,7.004063434,3,1,0.020675505,12,1.991324439,0.074589499,0.136082763,1.519586581,0,3.252390661,46.08283674,4,8.073660072,4.217391304,51.14416654,17.48045412,8.222
K097,O=S(=O)(Nc1ccc(c2c(cc(cc2)F)N2CCCCC2)nn1)CC,0,0.312572455,0.047891687,2,0.186550723,5,-1.203962504,4.846737281,17.38793723,1.032791962,0.119779869,8.001919945,0.114737752,0.714543862,0.971368314,0.333868592,0.02232967,7.004058236,5,0,0.01467803,12,1.562047085,0.075592684,0.253436788,1.366581871,4.722094864,4.038949011,36.14905618,5,3.711512668,3.282608696,59.76022044,10.02329115,6.936
K024,O=S(=O)(Nc1ccc(nn1)c1c(cccc1)N1CCCCC1)c1ccc(cc1)C,1,0.387188697,0.049648001,3,0.182118949,6,-1.032116865,4.836747396,10.71334625,1.050940171,0.151279164,7.014208628,0.117484753,0.698943929,0.971668348,0.28893396,0.017241379,6.017559742,5,0,0.013438786,18,1.276548768,0.076541645,0.352062073,1.357793574,4.722094864,4.043822974,66.22712218,10,3.579765904,3.358490566,64.66244759,10.02329115,8.62
K038,C(=O)(CCn1c(=O)oc2c1cc(c(c2)OCC)Cl)O,1,0.554149527,0.04728229,1,0.176441163,2,-0.833370799,4.83051861,12.96557803,1.171851135,0.072640028,7.00937891,0.109946296,0.736378913,0.972633384,0.117532735,0.032944862,6.039207193,5,1,0.020440373,9,1.955338671,0.071691583,0.300789642,1.372402014,9.361636832,3.272885583,27.70596746,2,5.209985032,3.483870968,66.48010236,11.72536811,8.301
K005,n1c(cc(nc1)C(=O)O)c1cccc(c1)Cl,1,0.227670901,0.053309977,2,0.190777187,4,0.217753139,4.693407566,5.693927995,1.041310976,0.044444444,7.008291653,0.123812717,0.72147535,0.972950358,0.254119038,0.034628852,6.022038667,3,1,0.01953125,12,1.87895414,0.08126832,0.166666667,1.469113331,0,3.152756526,47.37571673,6,3.87917614,3.782608696,48.1656203,5.969305288,9.301
K109,C(=O)(CCn1c(=O)oc2c1cc(c(c2)OCCN1CCCC1)Cl)O,0,0.626318311,0.048623222,1,0.181618439,2,-1.23403667,4.833735944,12.96557803,0.863396719,0.151696969,7.009380992,0.114573074,0.712670147,0.972678882,0.183855776,0.024865079,6.039214276,6,1,0.013700951,9,1.463512438,0.073057966,0.402851715,1.199797281,14.26154656,3.272951486,27.70596746,2,5.209985032,3.325581395,74.13573779,11.72536811,6.1
K008,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)Cl,1,0.271591518,0.051757586,2,0.193662669,5,0.30047982,4.730508754,5.693927995,0.929115854,0.040722928,7.00829184,0.119938597,0.730226417,0.972895564,0.239196453,0.034329287,6.022039209,3,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.537412134,0,3.181172486,46.33198297,5,5.269331926,4,49.63121178,5.969305288,9.222
K051,n1c(c(c(nc1)C(=O)O)C)c1ccc(c(c1)Cl)Cl,1,0.321975275,0.048666495,2,0.186461406,6,0.252064192,4.819040287,5.693927995,1.203609855,0.038490018,7.008292051,0.11943006,0.738005143,0.972848605,0.225647341,0.031885269,6.022040245,3,1,0.020675505,12,1.991324439,0.074589499,0.136082763,1.464253705,0,3.252390661,45.82906739,4,8.073660072,3.846153846,51.14416654,5.969305288,8
K091,c1c(cc2c(c1)OCC(=O)N2CCC(=O)O)Cl,0,0.3288443,0.053408962,1,0.182622087,3,-0.321662372,4.848682503,25.47963972,1.112560814,0.040193692,7.00936939,0.112694648,0.730226417,0.972693255,0.131392702,0.035792095,6.023459602,3,1,0.023003472,6,1.980945625,0.074360215,0.123596937,1.283990293,9.589074368,3.213699478,23.22173452,3,3.281252314,3.555555556,49.7137332,5.969305288,7.102
K129,c1ccc2c(c1)n(nc2)CCC(=O)O,0,0.395713222,0.055162948,1,0.183857048,0,0.098409655,4.646145319,6.420821623,1.10106383,0.081523526,7.008290923,0.11760664,0.71187538,0.972966,0.306015057,0.037777778,6.022002434,3,1,0.013194444,9,1.814506233,0.081138758,0.287457479,1.177656264,9.476340119,3.240042709,30.46231185,5,1.10520945,3.333333333,59.35052747,5.969305288,5.2
K113,c1(ccc2c(c1)cnn2CCC(=O)O)Cl,0,0.435283936,0.052917556,1,0.182665607,1,0.197107182,4.70068037,6.420821623,1.030522136,0.077802009,7.00829111,0.114934882,0.722433254,0.972901608,0.285698129,0.037579365,6.022002957,3,1,0.015046296,9,1.830435993,0.077145428,0.272165527,1.288888347,9.476340119,3.240804615,29.41857809,4,1.953310881,3.541666667,60.83050818,5.969305288,6
